Pico Station 2,,,,,
Location,Distance (ft),Down (mbps),Upload (mbps),Quality (%),Strength (dBm)
corner off 12 fl stairway *directors conference,0,30.3,32.7,100,-26
stairway,20,29.9,34,100,-36
Prague conference,40,29.9,30.3,87,-49
Urban control room,60,28.6,19.4,86,-52
Toiler TL2,80,30.2,28.2,91,-46
Uranus phone,100,29.9,29.1,93,-45
hallway,120,18.8,15.4,84,-51
Neptune,140,13.9,7,71,-60
Accra,160,20.5,13.6,74,-58
Pantry,180,14.2,9.55,70,-61
Hallway,200,11.1,4.72,69,-61
wooden slats,220,12,7.5,66,-63
reception,240,18.2,5.7,61,-68
blue sofa,260,21,12.8,73,-58
end,280,17.5,13,76,-58
